CSMP|59481.55|1998
Nursing|86358.88|1998
Biology|72822.32|1998
Business|112566.71|1998
Education|31476.7|1998
CSMP|94636.61|1999
Nursing|121856.58|1999
Biology|118181.56|1999
Business|124466.0|1999
Education|117442.26|1999
CSMP|56184.87|2000
Nursing|71819.71|2000
Biology|52016.4|2000
Business|75626.37|2000
Education|32332.2|2000
CSMP|69298.40|2001
Nursing|79765.5|2001
Biology|83849.0|2001
Business|104256.89|2001
Education|80273.31|2001
CSMP|107352.59|2002
Nursing|119498.1|2002
Biology|129092.69|2002
Business|74135.22|2002
Education|107760.28|2002
CSMP|127782.17|2003
Nursing|35761.62|2003
Biology|59849.57|2003
Business|52406.96|2003
Education|54754.67|2003
CSMP|124914.6|2004
Nursing|49077.29|2004
Biology|99288.38|2004
Business|101817.4|2004
Education|105321.46|2004
CSMP|45292.45|2005
Nursing|58108.5|2005
Biology|72172.87|2005
Business|99673.59|2005
Education|98928.55|2005
CSMP|50000.24|2006
Nursing|42093.91|2006
Biology|82473.92|2006
Business|39867.38|2006
Education|36898.70|2006
CSMP|55287.46|2007
Nursing|59582.63|2007
Biology|38710.57|2007
Business|60851.84|2007
Education|82114.81|2007
CSMP|60764.71|2008
Nursing|75452.38|2008
Biology|92547.57|2008
Business|39968.71|2008
Education|30398.29|2008
CSMP|64203.92|2009
Nursing|126803.56|2009
Biology|86757.51|2009
Business|39830.38|2009
Education|53535.49|2009
CSMP|107566.68|2010
Nursing|106736.66|2010
Biology|30351.83|2010
Business|125194.67|2010
Education|83586.50|2010
CSMP|37083.67|2011
Nursing|111881.73|2011
Biology|43506.32|2011
Business|95046.68|2011
Education|114905.44|2011
